Emotions,Path
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_vine_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_seize_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_bar_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_door_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_nice_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_goal_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_lid_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_mouse_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_red_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_bean_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_page_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_good_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_hate_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_wife_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_kill_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_time_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_pearl_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_bought_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_moon_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_check_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_bone_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_chain_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_peg_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_base_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_keep_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_half_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_rough_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_which_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_sour_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_walk_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_thin_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_pike_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_week_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_chat_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_keen_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_rain_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_food_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_mill_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_back_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_reach_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_live_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_third_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_laud_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_came_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_mop_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_pole_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_loaf_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_nag_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_cool_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_long_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_lot_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_germ_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_ditch_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_tell_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_sell_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_kick_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_hole_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_goose_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_have_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_tape_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_judge_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_make_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_ring_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_rush_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_burn_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_juice_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_lease_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_luck_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_mob_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_shall_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_dead_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_name_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_pad_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_yes_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_cab_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_lose_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_rag_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_date_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_ton_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_five_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_raid_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_thought_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_sub_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_bath_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_hit_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_rose_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_hash_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_when_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_phone_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_team_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_love_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_gaze_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_kite_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_hall_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_wire_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_wag_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_limb_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_gas_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_void_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_wash_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_mood_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_pool_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_shawl_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_book_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_said_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_hire_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_king_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_rat_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_calm_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_take_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_shack_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_choice_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_dime_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_sail_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_size_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_rot_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_death_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_fit_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_white_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_keg_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_deep_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_get_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_far_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_such_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_beg_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_home_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_young_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_soup_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_youth_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_road_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_tire_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_dab_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_fat_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_raise_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_pass_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_jar_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_gin_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_puff_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_tip_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_lean_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_search_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_chair_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_hush_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_dog_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_tool_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_jail_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_gap_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_hurl_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_should_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_cause_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_dodge_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_note_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_ripe_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_shout_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_pain_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_jug_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_neat_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_wheat_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_tough_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_late_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_yearn_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_life_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_thumb_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_learn_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_cheek_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_sure_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_vote_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_room_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_join_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_perch_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_talk_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_bite_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_mess_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_fall_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_doll_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_chalk_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_met_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_chief_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_pick_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_dip_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_numb_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_south_happy.wav
Happy,../dataset/TESS_aug/OAF/OAF_happy/aug_OAF_whip_happy.wav
